Имя ЛКД;Имя MDU (LKD);Область ЛКД;Город ЛКД;Улица ЛКД;Дом ЛКД;ID Дома;Подъезд(ЛКД);ID Подъезда;Количество этажей ЛКД;Квартира от (ЛКД);Квартира до ЛКД;Длина кабеля ЛКД;К-тво UTP/пар в ЛКД;Метод прокладки ЛКД;Дата акта ЛКД;Дилер зоны;СТАТУС ЛКД;ИФ Автора изменения;Дата изменения
LKD_ZAP_4831410_1;MDU_ZAP00077;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Незалежної України[40 років Радянської України];90;494487;;4831410;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4831412_1;MDU_ZAP00077;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Незалежної України[40 років Радянської України];90;494487;;4831412;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4831414_1;MDU_ZAP00077;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Незалежної України[40 років Радянської України];90;494487;;4831414;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4831424_1;MDU_ZAP00030;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Ладозька;2А;478732;1;4831424;1;;;;;;;;назначен в план;GIS;10.02.2017
LKD_ZAP_4835610_1;MDU_ZAP00080;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];40;479201;;4835610;4;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4835612_1;MDU_ZAP00080;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];40;479201;;4835612;4;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4835614_1;MDU_ZAP00080;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];40;479201;;4835614;4;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4835616_1;MDU_ZAP00080;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];40;479201;;4835616;4;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4835618_1;MDU_ZAP00080;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];40;479201;;4835618;4;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4836958_1;MDU_ZAP00093;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];159;479218;;4836958;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4836960_1;MDU_ZAP00093;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];159;479218;;4836960;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4837044_1;MDU_ZAP00094;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Соборний[Леніна];208;479102;;4837044;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4838198_1;MDU_ZAP00077;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Олександра Матросова;23;461772;;4838198;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4838564_1;MDU_ZAP00083;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Добровольчих батальйонів[Союзна];73;493112;;4838564;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4840780_1;MDU_ZAP00025;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);40 років Перемоги;63;503501;;4840780;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4849424_1;MDU_ZAP00081;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Олександрівська[Дзержинського];104;470525;5;4849424;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4849444_1;MDU_ZAP00081;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Олександрівська[Дзержинського];87;470516;;4849444;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4849446_1;MDU_ZAP00081;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Олександрівська[Дзержинського];87;470516;;4849446;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LLKD_na_5399999_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Антарктична;15;2006540;3;5399999;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5400001_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Антарктична;15;2006540;4;5400001;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5400003_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Антарктична;15;2006540;5;5400003;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5400005_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Антарктична;15;2006540;6;5400005;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_MEL_5643807_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Гетьманська[Леніна];137;5487819;;5643807;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645373_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;59;5487875;;5645373;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645375_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;59;5487875;;5645375;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645389_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;32;5487952;;5645389;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645391_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;32;5487952;;5645391;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_na_5645395_1;;Запорізька область;Мелітополь м.;Вакуленка;61;5487936;1;5645395;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645397_1;;Запорізька область;Мелітополь м.;Вакуленка;61;5487936;2;5645397;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645399_1;;Запорізька область;Мелітополь м.;Вакуленка;61;5487936;3;5645399;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645401_1;;Запорізька область;Мелітополь м.;Вакуленка;61;5487936;4;5645401;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645403_1;;Запорізька область;Мелітополь м.;Вакуленка;61;5487936;5;5645403;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645405_1;;Запорізька область;Мелітополь м.;Вакуленка;61;5487936;6;5645405;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645483_1;;Запорізька область;Мелітополь м.;Ярослава Мудрого[Люксембург Рози];8А;5487893;1;5645483;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645485_1;;Запорізька область;Мелітополь м.;Ярослава Мудрого[Люксембург Рози];8А;5487893;2;5645485;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645487_1;;Запорізька область;Мелітополь м.;Ярослава Мудрого[Люксембург Рози];8А;5487893;3;5645487;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645489_1;;Запорізька область;Мелітополь м.;Ярослава Мудрого[Люксембург Рози];8А;5487893;4;5645489;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_MEL_5645541_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;60;5487887;;5645541;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645543_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;60;5487887;;5645543;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645625_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Хмельницького Богдана;54;5487845;;5645625;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645627_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Петра Дорошенка[Горького];31;5487668;;5645627;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645629_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Петра Дорошенка[Горького];31;5487668;;5645629;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645631_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Петра Дорошенка[Горького];31;5487668;;5645631;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645633_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Петра Дорошенка[Горького];31;5487668;;5645633;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645635_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Петра Дорошенка[Горького];31;5487668;5;5645635;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645637_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Петра Дорошенка[Горького];31;5487668;6;5645637;9;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_MEL_5645673_1;MDU_MEL00003;Запорізька область;Мелітополь м.;Мелітопольської Дивізії;126;5487833;;5645673;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_na_5645733_1;;Запорізька область;Мелітополь м.;Вакуленка;82;5487929;1;5645733;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645735_1;;Запорізька область;Мелітополь м.;Вакуленка;82;5487929;2;5645735;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645737_1;;Запорізька область;Мелітополь м.;Вакуленка;82;5487929;3;5645737;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645739_1;;Запорізька область;Мелітополь м.;Вакуленка;82;5487929;4;5645739;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645755_1;;Запорізька область;Мелітополь м.;Вакуленка;65;5487932;1;5645755;5;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_5645757_1;;Запорізька область;Мелітополь м.;Вакуленка;65;5487932;2;5645757;5;;;;;;;;назначен в план;GIS;10.02.2017
